"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","temp_mean"
"1",5,2020,1,24,2020-01-24,37.3,33.7,1028.5,6.5,3.3,8,NA,46,19.9,0,1,523,32.95
"2",1,2020,1,13,2020-01-13,42.5,37,1029.6,9.5,9.2,13,NA,57,39.9,0.01,0,473,48.45
"3",2,2020,1,7,2020-01-07,39,26.6,1016.6,10,8,13,NA,43,24.1,0,0,402,33.55
"4",3,2020,1,15,2020-01-15,43.9,38.3,1019.4,8.2,5.4,14,15,51.1,35.1,0.02,1,506,43.1
"5",4,2020,1,30,2020-01-30,31.6,19.4,1023.4,10,9.4,15,NA,37,21.9,0,0,522,29.45
"6",1,2020,1,6,2020-01-06,33.5,24,1013.2,9.9,5.3,15,NA,43,24.1,0.01,1,455,33.55
"7",5,2020,1,3,2020-01-03,45.8,42.9,1010.3,7,10.3,15,NA,46.9,33.1,0,1,452,40
"8",7,2020,1,26,2020-01-26,44.3,40.7,1006.4,6.5,13,19,28,51.1,36,0.44,1,395,43.55
"9",4,2020,1,2,2020-01-02,39.6,28.9,1011.8,10,13,19,26,46,33.1,0.01,0,410,39.55
"10",1,2020,1,20,2020-01-20,28.1,16.1,1015.1,10,15.7,20,27,46.9,21.9,0.04,0,389,34.4
"11",6,2020,1,25,2020-01-25,43.1,39.6,1023.5,9,12.3,20,28.9,48.9,28,0,1,383,38.45
"12",6,2020,1,11,2020-01-11,49.4,46.1,1028.6,6.7,13.8,21,27,53.1,46.9,0,1,438,50
"13",7,2020,1,19,2020-01-19,41.2,35.8,1004.9,7.5,14.4,22,27,46.9,19,0.21,1,360,32.95
"14",4,2020,1,9,2020-01-09,29.5,10.8,1030.7,10,15.3,22,35,42.1,24.1,0.34,0,517,33.1
"15",7,2020,1,12,2020-01-12,52,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0,1,387,50.25
"16",5,2020,1,31,2020-01-31,29.8,22.3,1027.4,10,3.3,8.9,NA,39.9,19,0,0,517,29.45
"17",1,2016,1,25,2016-01-25,33.5,21.2,1021.4,10,6.5,8.9,NA,37.9,30,0.02,0,658,33.95
"18",4,2016,1,28,2016-01-28,35,24.4,1016.1,10,4.3,8.9,NA,46,23,0.09,0,681,34.5
"19",2,2020,1,14,2020-01-14,41.5,37.7,1026.2,8.8,5.3,8.9,NA,44.1,37.9,0,0,497,41
"20",3,2020,1,22,2020-01-22,27.1,14.3,1029.8,10,4.2,8.9,NA,34,17.1,0,0,489,25.55
