date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust
2012-01-01,2012,01,01,-19.0,-24.0,1018.2,999.9,4.8,8.9,18.1
2012-01-01,2012,01,01,70.2,58.2,1012.4,999.9,9.5,14.0,999.9
2012-01-01,2012,01,01,79.0,76.4,1009.9,999.9,1.3,1.9,999.9
2012-01-01,2012,01,01,71.8,59.2,1010.4,999.9,8.4,15.0,999.9
2012-01-01,2012,01,01,35.2,33.9,1020.3,999.9,1.9,5.8,999.9
2012-01-01,2012,01,01,69.8,42.2,1009.4,999.9,5.3,8.0,999.9
2012-01-01,2012,01,01,32.6,30.4,9999.9,999.9,7.4,12.8,999.9
2012-01-01,2012,01,01,38.6,34.3,9999.9,999.9,2.2,3.9,999.9
2012-01-01,2012,01,01,37.7,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,19.7,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,7.1,4.9,1027.2,999.9,0.5,1.0,999.9
2012-01-01,2012,01,01,3.2,-0.2,1024.9,999.9,3.0,7.0,999.9
2012-01-01,2012,01,01,31.5,30.9,9999.9,999.9,7.3,9.7,999.9
2012-01-01,2012,01,01,39.4,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,32.9,32.3,1022.5,999.9,0.5,1.9,999.9
2012-01-01,2012,01,01,34.4,19.5,990.7,999.9,5.2,11.7,999.9
2012-01-01,2012,01,01,76.4,40.1,9999.9,999.9,8.2,14.0,999.9
2012-01-01,2012,01,01,31.8,30.2,9999.9,999.9,15.8,25.3,33.0
2012-01-01,2012,01,01,33.6,32.6,9999.9,999.9,12.4,19.4,999.9
2012-01-01,2012,01,01,64.3,61.2,1003.4,999.9,7.5,16.9,999.9
2012-01-01,2012,01,01,87.7,53.5,1006.1,999.9,9.3,16.9,999.9
2012-01-01,2012,01,01,42.5,41.3,1003.8,999.9,6.3,9.9,999.9
2012-01-01,2012,01,01,39.0,35.7,1009.6,999.9,6.0,11.1,999.9
2012-01-01,2012,01,01,34.5,27.0,1005.0,999.9,12.5,21.4,999.9
2012-01-01,2012,01,01,64.5,9999.9,1022.3,999.9,3.2,13.0,999.9
2012-01-01,2012,01,01,42.7,41.8,1017.9,999.9,4.4,7.8,999.9
2012-01-01,2012,01,01,82.9,48.6,1009.4,999.9,7.4,12.0,999.9
2012-01-01,2012,01,01,66.0,53.4,1015.3,999.9,6.9,11.1,999.9
2012-01-01,2012,01,01,38.0,37.0,996.3,999.9,4.3,9.7,999.9
2012-01-01,2012,01,01,39.9,38.1,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,14.3,9.7,1034.2,999.9,3.2,9.9,999.9
2012-01-01,2012,01,01,7.3,2.2,1036.6,999.9,4.9,7.8,999.9
2012-01-01,2012,01,01,41.0,34.3,1026.1,999.9,12.5,22.0,999.9
2012-01-01,2012,01,01,32.3,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,94.9,28.6,1007.9,999.9,8.7,14.0,999.9
2012-01-01,2012,01,01,32.1,29.5,1021.1,999.9,1.5,3.9,999.9
2012-01-01,2012,01,01,30.2,28.5,1010.3,999.9,6.7,9.7,999.9
2012-01-01,2012,01,01,22.6,19.5,9999.9,999.9,13.0,16.9,28.0
2012-01-01,2012,01,01,62.1,56.7,9999.9,999.9,16.2,25.1,999.9
2012-01-01,2012,01,01,14.8,12.3,1002.1,999.9,6.6,16.9,25.8
2012-01-01,2012,01,01,41.9,40.7,1007.9,999.9,41.6,49.9,62.9
2012-01-01,2012,01,01,80.2,69.9,1014.7,999.9,7.4,9.9,999.9
2012-01-01,2012,01,01,31.8,23.2,9999.9,999.9,2.2,3.9,999.9
2012-01-01,2012,01,01,87.5,38.6,1009.3,999.9,7.6,15.0,999.9
2012-01-01,2012,01,01,35.1,34.2,1009.8,999.9,17.4,32.8,43.9
2012-01-01,2012,01,01,87.6,51.7,1010.7,999.9,8.0,11.1,999.9
2012-01-01,2012,01,01,41.8,38.9,9999.9,999.9,17.8,22.0,35.0
2012-01-01,2012,01,01,30.9,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,31.8,30.7,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,35.0,30.8,9999.9,999.9,29.3,36.9,999.9
2012-01-01,2012,01,01,47.4,38.7,1020.6,999.9,15.3,19.4,23.3
2012-01-01,2012,01,01,41.3,9999.9,1006.4,999.9,16.1,27.2,999.9
2012-01-01,2012,01,01,1.1,-9.9,1032.9,999.9,3.6,8.0,29.9
2012-01-01,2012,01,01,-28.0,-34.1,1024.6,999.9,11.9,15.0,999.9
2012-01-01,2012,01,01,10.2,1.2,9999.9,999.9,6.2,18.1,31.1
2012-01-01,2012,01,01,23.4,17.2,1015.3,999.9,19.5,28.0,31.1
2012-01-01,2012,01,01,69.8,48.4,9999.9,999.9,2.2,4.1,999.9
2012-01-01,2012,01,01,77.7,72.1,1009.6,999.9,0.0,999.9,999.9
2012-01-01,2012,01,01,91.7,54.4,1005.6,999.9,5.0,13.0,999.9
2012-01-01,2012,01,01,29.8,27.5,9999.9,999.9,12.6,19.4,999.9
2012-01-01,2012,01,01,84.2,47.7,9999.9,999.9,3.4,8.0,999.9
2012-01-01,2012,01,01,40.8,34.7,9999.9,999.9,4.4,8.9,17.1
2012-01-01,2012,01,01,52.7,47.8,1011.3,999.9,20.2,26.0,999.9
2012-01-01,2012,01,01,24.2,14.8,1033.3,999.9,2.8,7.0,999.9
2012-01-01,2012,01,01,79.8,59.0,1006.5,999.9,7.3,15.9,999.9
2012-01-01,2012,01,01,45.6,9999.9,9999.9,999.9,16.8,33.0,999.9
2012-01-01,2012,01,01,37.5,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,20.4,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,29.0,28.0,998.0,999.9,2.1,5.8,999.9
2012-01-01,2012,01,01,37.0,36.4,9999.9,999.9,17.7,29.9,999.9
2012-01-01,2012,01,01,0.2,-3.7,1038.5,999.9,4.9,5.8,999.9
2012-01-01,2012,01,01,12.4,7.4,9999.9,999.9,20.6,25.1,999.9
2012-01-01,2012,01,01,13.6,3.2,1029.7,999.9,7.2,13.0,29.9
2012-01-01,2012,01,01,92.1,49.7,1006.8,999.9,7.1,8.9,999.9
2012-01-01,2012,01,01,81.0,60.7,1007.6,999.9,14.1,21.0,999.9
2012-01-01,2012,01,01,38.9,37.2,9999.9,999.9,4.1,5.8,999.9
2012-01-01,2012,01,01,77.0,59.7,1012.5,999.9,6.3,9.9,999.9
2012-01-01,2012,01,01,-4.8,-6.1,9999.9,999.9,3.6,5.8,999.9
2012-01-01,2012,01,01,80.4,60.0,9999.9,999.9,2.6,5.1,999.9
2012-01-01,2012,01,01,53.1,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,52.0,35.7,9999.9,999.9,15.3,22.0,27.0
2012-01-01,2012,01,01,23.2,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,18.1,13.2,9999.9,999.9,18.2,22.9,34.0
2012-01-01,2012,01,01,47.1,9999.9,1016.4,999.9,6.3,12.0,999.9
2012-01-01,2012,01,01,41.6,31.7,1025.6,999.9,8.6,12.8,42.0
2012-01-01,2012,01,01,67.3,49.3,1019.9,999.9,2.0,8.0,999.9
2012-01-01,2012,01,01,-22.8,9999.9,1019.7,999.9,7.2,18.1,22.0
2012-01-01,2012,01,01,11.6,-3.2,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,61.9,55.9,1015.8,999.9,7.1,9.9,999.9
2012-01-01,2012,01,01,-15.5,-18.8,9999.9,999.9,0.0,999.9,999.9
2012-01-01,2012,01,01,13.0,1.2,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,1.5,-10.7,1034.1,999.9,3.2,7.0,28.9
2012-01-01,2012,01,01,73.1,60.2,1013.4,999.9,6.9,15.0,999.9
2012-01-01,2012,01,01,66.8,57.1,1017.0,999.9,3.0,8.9,999.9
2012-01-01,2012,01,01,34.7,32.2,1010.6,999.9,4.9,7.8,999.9
2012-01-01,2012,01,01,32.2,17.5,9999.9,999.9,14.0,19.4,999.9
2012-01-01,2012,01,01,7.1,-0.4,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,36.7,35.7,994.2,999.9,2.5,5.8,999.9
2012-01-01,2012,01,01,50.1,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,-29.1,-36.4,1019.8,999.9,3.2,8.9,999.9
